new entry "Projectile_PFS_The_Harvester_PA_BasicAttack"
type "SkillData"
data "SkillType" "Projectile"
data "ForGameMaster" "Yes"
data "Ability" "Ranger"
data "Tier" "Novice"
data "Requirement" "RangedWeapon"
data "ActionPoints" "2"
data "Cooldown" "3"
data "Damage Multiplier" "60"
data "TargetRadius" "15"
data "DeathType" "Arrow"
data "ExplodeRadius" "0"
data "CanTargetCharacters" "Yes"
data "CanTargetItems" "Yes"
data "CanTargetTerrain" "Yes"
data "ForceTarget" "No"
data "AmountOfTargets" "1"
data "TargetConditions" "NonSelf"
data "UseCharacterStats" "No"
data "UseWeaponDamage" "Yes"
data "UseWeaponProperties" "Yes"
data "ProjectileCount" "5"
data "ProjectileDelay" "0"
data "Template" "5ac62b5c-bb33-4f03-bae4-1c054e4b9314"
data "IgnoreVisionBlock" "Yes"
data "Icon" "Skill_Ranger_Multishot"
data "DisplayName" "Projectile_The_Harvester_PA_DisplayName"
data "DisplayNameRef" "Pump-Action Volley"
data "Description" "Projectile_Multishot_Description"
data "DescriptionRef" "Fire multiple arrows in a straight line, each dealing [1] damage."
data "StatsDescription" "Projectile_Multishot_StatsDescription"
data "StatsDescriptionRef" "Range: [2]<br>Damage dealt depends on your weapon's damage rating."
data "StatsDescriptionParams" "Damage;TargetRadius"
data "PrepareAnimationInit" "skill_prepare_weapon_01_start"
data "PrepareAnimationLoop" "skill_prepare_weapon_01_loop"
data "PrepareEffect" "RS3_FX_Skills_Divine_Prepare_Weapon_Root_01,KeepRot:Dummy_Root;RS3_FX_Skills_Divine_Prepare_Weapon_ArrowFX_01:Dummy_ProjectileFX"
data "CastAnimation" "skill_attack_precision_01_cast"
data "CastTextEvent" "shoot"
data "CastEffect" "RS3_FX_Skills_Divine_Attack_Multi_Root_Cast_01:Dummy_Root:cast;RS3_FX_Skills_Divine_Attack_Multi_ArrowFX_Cast_01:Dummy_ProjectileFX:cast;RS3_FX_Skills_Divine_Attack_Multi_ArrowFX_Cast_02:Dummy_ProjectileFX:cast02"
data "MemorizationRequirements" "RangerLore 2"
data "Memory Cost" "1"
data "Magic Cost" "0"
data "ProjectileTerrainOffset" "Yes"
data "OverrideMinAP" "No"
data "CycleConditions" "Enemy;!Dead"
