treasure itemtypes "Common","Uncommon","Rare","Epic","Legendary","Divine","Unique"

new treasuretable "Majoras_PFS_AllUniques"
new subtable "1,1"
object category "I_Maj_WPN_2H_Staff_SMITE_Aphrodite_Staff",1,1,0,0,0,0,0,0
new subtable "1,1"
object category "I_Maj_WPN_2H_Sword_Fable_Avos_Tear",1,1,0,0,0,0,0,0
new subtable "1,1"
object category "I_Maj_WPN_Azi_Dahaka_1H",1,1,0,0,0,0,0,0
new subtable "1,1"
object category "I_Maj_WPN_BanditKing_Greathammer_2H",1,1,0,0,0,0,0,0
new subtable "1,1"
object category "I_Maj_WPN_BanditKing_Greatsword_2H",1,1,0,0,0,0,0,0
new subtable "1,1"
object category "I_Maj_WPN_BanditKing_Hammer_1H",1,1,0,0,0,0,0,0
new subtable "1,1"
object category "I_Maj_WPN_BanditKing_Sword_1H",1,1,0,0,0,0,0,0
new subtable "1,1"
object category "I_Maj_WPN_Bifrost_1H",1,1,0,0,0,0,0,0
new subtable "1,1"
object category "I_Maj_WPN_Buer_1H",1,1,0,0,0,0,0,0
new subtable "1,1"
object category "I_Maj_WPN_Buster_Sword_2H",1,1,0,0,0,0,0,0
new subtable "1,1"
object category "I_Maj_WPN_Cutlass_Bluetane_1H",1,1,0,0,0,0,0,0
new subtable "1,1"
object category "I_Maj_WPN_Denryu_Bakuha_2H",1,1,0,0,0,0,0,0
new subtable "1,1"
object category "I_Maj_WPN_Dollmasters_Mace_1H",1,1,0,0,0,0,0,0
new subtable "1,1"
object category "I_Maj_WPN_Eiserne_Drossel_1_1H",1,1,0,0,0,0,0,0
new subtable "1,1"
object category "I_Maj_WPN_Eiserne_Drossel_2_1H",1,1,0,0,0,0,0,0
new subtable "1,1"
object category "I_Maj_WPN_Enma_1H",1,1,0,0,0,0,0,0
new subtable "1,1"
object category "I_Maj_WPN_FFX2_Thief_Dagger_1H",1,1,0,0,0,0,0,0
new subtable "1,1"
object category "I_Maj_WPN_Frostmourne_1H",1,1,0,0,0,0,0,0
new subtable "1,1"
object category "I_Maj_WPN_Lights_Vengeance_2H",1,1,0,0,0,0,0,0
new subtable "1,1"
object category "I_Maj_WPN_Lion_Axe_1H",1,1,0,0,0,0,0,0
new subtable "1,1"
object category "I_Maj_WPN_Lion_Shield_1H",1,1,0,0,0,0,0,0
new subtable "1,1"
object category "I_Maj_WPN_Sandai_Kitetsu_1H",1,1,0,0,0,0,0,0
new subtable "1,1"
object category "I_Maj_WPN_Soul_Edge_V4_2H",1,1,0,0,0,0,0,0
new subtable "1,1"
object category "I_Maj_WPN_Soul_Edge_V5_2H",1,1,0,0,0,0,0,0
new subtable "1,1"
object category "I_Maj_WPN_Staff_of_Ainz_Ooal_Gown_2H",1,1,0,0,0,0,0,0
new subtable "1,1"
object category "I_Maj_WPN_Steel_On_Steel_1H",1,1,0,0,0,0,0,0
new subtable "1,1"
object category "I_Maj_WPN_Susanoo_Sword_2H",1,1,0,0,0,0,0,0
new subtable "1,1"
object category "I_Maj_WPN_Sword_of_Aeons_2H",1,1,0,0,0,0,0,0
new subtable "1,1"
object category "I_Maj_WPN_TESO_Madness_Shield_1H",1,1,0,0,0,0,0,0
new subtable "1,1"
object category "I_Maj_WPN_The_Maelstrom_1H",1,1,0,0,0,0,0,0
new subtable "1,1"
object category "I_Maj_WPN_The_Soul_Reaver_2H",1,1,0,0,0,0,0,0
new subtable "1,1"
object category "I_Maj_WPN_Vimana_1H",1,1,0,0,0,0,0,0
new subtable "1,1"
object category "I_Maj_WPN_Wado_Ichimonji_1H",1,1,0,0,0,0,0,0
new subtable "1,1"
object category "I_Maj_EQ_Avatar_Ainz_Ooal_Gown",1,1,0,0,0,0,0,0
new subtable "1,1"
object category "I_Maj_EQ_Avatar_Aphrodite",1,1,0,0,0,0,0,0
new subtable "1,1"
object category "I_Maj_EQ_Avatar_Cloud_Strife",1,1,0,0,0,0,0,0
new subtable "1,1"
object category "I_Maj_EQ_Avatar_Kamikirimusi",1,1,0,0,0,0,0,0
new subtable "1,1"
object category "I_Maj_EQ_Avatar_Kefka_God_Form",1,1,0,0,0,0,0,0
new subtable "1,1"
object category "I_Maj_EQ_Avatar_Kefka_Palazzo",1,1,0,0,0,0,0,0
new subtable "1,1"
object category "I_Maj_EQ_Avatar_Nightmare_V",1,1,0,0,0,0,0,0
new subtable "1,1"
object category "I_Maj_EQ_Avatar_Nu_Wa",1,1,0,0,0,0,0,0
new subtable "1,1"
object category "I_Maj_EQ_Avatar_Rikku",1,1,0,0,0,0,0,0
new subtable "1,1"
object category "I_Maj_EQ_Avatar_Susanoo",1,1,0,0,0,0,0,0
new subtable "1,1"
object category "I_Maj_EQ_Avatar_Tifa_Lockhart",1,1,0,0,0,0,0,0
new subtable "1,1"
object category "I_Maj_EQ_Avatar_Tira",1,1,0,0,0,0,0,0
new subtable "1,1"
object category "I_Maj_EQ_DeathKnight_Arthas_Cloak",1,1,0,0,0,0,0,0
new subtable "1,1"
